HP Number,HP Date,Name of Owner,Asset,Registration Number,Engine Number,Chassis Date,Year of Manufacturing,ORC,State,Zone,Repo Date,Segment,Photo Link,Correctly Placed,Location,Contact Person,Inspection Done
HP-INDB-100001,2022-12-21,Ritu Mishra,Maruti Suzuki Swift VXi,WB09 QW 9747,END8811198,2022-09-24,2022,ORC-WB-12259,West Bengal,East,2026-02-03,Car,https://images.example.com/assets/WB09QW9747.jpg,Yes,"Yard A, Kolkata",Sunita Mishra (+91 9916736118),No
HP-INDB-100002,2022-06-28,Anita Nair,Kia Seltos HTK,BR50 XJ 9472,ENN1319512,2020-11-01,2020,ORC-BR-10278,Bihar,East,2025-09-21,Car,https://images.example.com/assets/BR50XJ9472.jpg,Yes,"Yard E, Patna",Priya Gupta (+91 9869945559),Yes
HP-AXISB-100003,2018-01-27,Anjali Yadav,Toyota Glanza V,TN82 AY 8030,ENS5009185,2018-02-11,2018,ORC-TN-47474,Tamil Nadu,South,2025-03-25,Car,https://images.example.com/assets/TN82AY8030.jpg,Yes,"Yard B, Chennai",Vikas Nair (+91 9876360372),No
HP-SBINB-100004,2019-08-16,Anita Joshi,Hyundai i20 Sportz,BR95 DN 8137,ENZ4207205,2017-05-22,2017,ORC-BR-11140,Bihar,East,2024-10-22,Car,https://images.example.com/assets/BR95DN8137.jpg,Yes,"Yard A, Patna",Kavita Choudhary (+91 9886036675),No
HP-ICICIB-100005,2017-12-15,Rajesh Das,Kia Seltos HTK,KL12 QY 1810,ENO2620431,2015-07-14,2015,ORC-KL-19930,Kerala,South,2024-10-08,Car,https://images.example.com/assets/KL12QY1810.jpg,Yes,"Yard C, Trivandrum",Meera Rao (+91 9413848677),No
HP-AXISB-100006,2018-06-06,Sunita Iyer,Skoda Slavia Active,MP36 FB 3152,ENX2824113,2017-03-28,2017,ORC-MP-45194,Madhya Pradesh,Central,2025-04-15,Car,https://images.example.com/assets/MP36FB3152.jpg,Yes,"Yard E, Bhopal",Deepak Gupta (+91 9433279422),Yes
HP-SBINB-100007,2020-08-23,Mohit Patel,Honda City ZX,WB35 YE 7329,ENT5297858,2018-09-23,2018,ORC-WB-40475,West Bengal,East,2025-06-17,Car,https://images.example.com/assets/WB35YE7329.jpg,Yes,"Yard D, Howrah",Pooja Mehta (+91 9635233615),No
HP-AXISB-100008,2016-05-13,Vikas Rao,Toyota Glanza V,KA72 XS 1095,ENQ4941404,2016-04-08,2016,ORC-KA-92778,Karnataka,South,2025-05-12,Car,https://images.example.com/assets/KA72XS1095.jpg,Yes,"Yard D, Bengaluru",Geeta Joshi (+91 9232580931),No
HP-AXISB-100009,2016-03-24,Rajesh Mishra,Kia Seltos HTK,DL44 KE 3403,ENS7260590,2016-08-10,2016,ORC-DL-71369,Delhi,North,2024-03-07,Car,https://images.example.com/assets/DL44KE3403.jpg,Yes,"Yard E, Rohini",Rajesh Mehta (+91 9518306843),No
HP-AXISB-100010,2025-11-12,Kavita Khan,Honda City ZX,TS35 LB 8253,ENR5723658,2024-12-08,2024,ORC-TS-96095,Telangana,South,2025-12-21,Car,https://images.example.com/assets/TS35LB8253.jpg,Yes,"Yard C, Hyderabad",Nikhil Yadav (+91 9289966356),No
HP-KMBL-100011,2026-06-03,Priya Choudhary,Tata Nexon XZ,RJ81 AI 9191,ENZ6356502,2024-11-23,2024,ORC-RJ-40836,Rajasthan,North,2025-01-13,Car,https://images.example.com/assets/RJ81AI9191.jpg,Yes,"Yard E, Jaipur",Divya Kumar (+91 9575778226),Yes
HP-AXISB-100012,2019-01-15,Kavita Pillai,Maruti Suzuki Swift VXi,PB19 YC 2954,ENG9326076,2017-04-18,2017,ORC-PB-74013,Punjab,North,2026-09-07,Car,https://images.example.com/assets/PB19YC2954.jpg,Yes,"Yard B, Ludhiana",Deepak Verma (+91 9901726977),No
HP-HDFCB-100013,2024-05-17,Shruti Choudhary,Maruti Suzuki Swift VXi,UP53 ID 3010,ENV7749013,2022-12-27,2022,ORC-UP-61477,Uttar Pradesh,North,2026-06-19,Car,https://images.example.com/assets/UP53ID3010.jpg,Yes,"Yard E, Varanasi",Kavita Patel (+91 9855006894),Yes
HP-ICICIB-100014,2016-12-16,Sunita Rao,Maruti Suzuki Swift VXi,RJ90 YB 7441,ENC9423561,2015-01-08,2015,ORC-RJ-45964,Rajasthan,North,2025-07-19,Car,https://images.example.com/assets/RJ90YB7441.jpg,No,"Yard B, Jodhpur",Anjali Singh (+91 9797704064),Yes
HP-YESB-100015,2022-01-01,Pooja Das,Maruti Suzuki Swift VXi,UP03 LG 5818,ENF9173127,2020-02-04,2020,ORC-UP-91366,Uttar Pradesh,North,2026-09-14,Car,https://images.example.com/assets/UP03LG5818.jpg,Yes,"Yard B, Noida",Geeta Khan (+91 9298568890),Yes
HP-YESB-100016,2014-05-24,Sunita Iyer,Honda City ZX,GJ70 EZ 4525,ENE6033022,2014-01-20,2014,ORC-GJ-44488,Gujarat,West,2026-05-13,Car,https://images.example.com/assets/GJ70EZ4525.jpg,Yes,"Yard A, Rajkot",Sandeep Mishra (+91 9653306034),Yes
HP-ICICIB-100017,2024-03-24,Sandeep Mehta,Tata Nexon XZ,KL65 FZ 2937,ENM1858127,2022-12-14,2022,ORC-KL-38530,Kerala,South,2025-05-16,Car,https://images.example.com/assets/KL65FZ2937.jpg,Yes,"Yard B, Kochi",Anjali Kumar (+91 9480219541),No
HP-ICICIB-100018,2024-03-06,Priya Rao,Renault Kwid RXT,AP40 OU 6301,ENF5639855,2022-02-03,2022,ORC-AP-97328,Andhra Pradesh,South,2024-05-03,Car,https://images.example.com/assets/AP40OU6301.jpg,Yes,"Yard C, Vijayawada",Sneha Kumar (+91 9911380981),No
HP-HDFCB-100019,2025-12-17,Anjali Yadav,Tata Nexon XZ,TN47 HQ 3921,ENV0003499,2023-01-08,2023,ORC-TN-31911,Tamil Nadu,South,2024-08-13,Car,https://images.example.com/assets/TN47HQ3921.jpg,Yes,"Yard B, Chennai",Anita Verma (+91 9862381754),No
HP-YESB-100020,2022-06-05,Nikhil Mishra,Skoda Slavia Active,DL84 FC 9406,ENL4103497,2020-10-04,2020,ORC-DL-92768,Delhi,North,2024-10-23,Car,https://images.example.com/assets/DL84FC9406.jpg,Yes,"Yard E, New Delhi",Sneha Verma (+91 9440767106),No
HP-HDFCB-100021,2018-11-19,Anjali Choudhary,Renault Kwid RXT,PB91 KK 9048,ENF9159753,2017-06-12,2017,ORC-PB-13975,Punjab,North,2025-09-15,Car,https://images.example.com/assets/PB91KK9048.jpg,Yes,"Yard C, Amritsar",Karan Verma (+91 9015615893),Yes
HP-ICICIB-100022,2020-12-21,Divya Pillai,Hyundai i20 Sportz,UP89 ZG 9893,ENP8045938,2018-08-02,2018,ORC-UP-63901,Uttar Pradesh,North,2025-01-21,Car,https://images.example.com/assets/UP89ZG9893.jpg,Yes,"Yard B, Noida",Amit Pillai (+91 9375373466),No
HP-HDFCB-100023,2018-02-06,Ritu Rao,Volkswagen Virtus Comfortline,HR23 WU 8200,ENG4309759,2018-12-19,2018,ORC-HR-25591,Haryana,North,2025-05-23,Car,https://images.example.com/assets/HR23WU8200.jpg,Yes,"Yard A, Faridabad",Shruti Yadav (+91 9768992602),No
HP-ICICIB-100024,2021-07-25,Vivek Reddy,Renault Kwid RXT,UP24 FW 4364,ENP3620846,2019-06-14,2019,ORC-UP-97682,Uttar Pradesh,North,2025-11-06,Car,https://images.example.com/assets/UP24FW4364.jpg,Yes,"Yard C, Varanasi",Vikas Choudhary (+91 9725221324),No
HP-KMBL-100025,2020-04-23,Priya Singh,Skoda Slavia Active,KA37 XB 5500,ENL4963502,2018-07-15,2018,ORC-KA-11301,Karnataka,South,2026-05-23,Car,https://images.example.com/assets/KA37XB5500.jpg,Yes,"Yard A, Bengaluru",Rahul Verma (+91 9315956396),No
HP-KMBL-100026,2021-12-11,Rahul Verma,Mahindra XUV300 W6,UP24 FO 6754,ENV3139789,2019-02-01,2019,ORC-UP-62479,Uttar Pradesh,North,2026-02-13,Car,https://images.example.com/assets/UP24FO6754.jpg,Yes,"Yard A, Lucknow",Karan Singh (+91 9478730046),No
